Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
ASM2654693v2	GCA_026546935.2		Palythoa grandiflora					IRGN HKIKRJOT78			Scaffold	2023-06-01	JAOCPT02	1042996
ASM2540354v1	GCA_025403545.1		Epizoanthus stellaris					IRGN 4Z0QAQ1SI2			Scaffold	2022-09-26	JAOBYG01	924661
ASM4432721v1	GCA_044327215.1		Cryptodendrum adhaesivum					KA_CA3_SR			Scaffold	2024-11-03	JBIDER01	537291
ASM4447314v1	GCA_044473145.1		Diadumene cincta					YGK5GJJY0I			Scaffold	2024-11-05	JBIDEP01	425998
ASM4447326v1	GCA_044473265.1		Phymanthus loligo					KA_SP1B_AS			Scaffold	2024-11-05	JBIDEH01	321988
Renilla reniformis genome assembly 1.0	GCA_900177555.1		Renilla reniformis								Scaffold	2017-04-20	FXAL01	171053
ASM2757521v2	GCA_027575215.2		Hydrozoanthus sils					IRGN D8I5S2QRUW			Scaffold	2023-06-01	JAOBRD02	1154185
ASM4447418v1	GCA_044474185.1		Stichodactyla tapetum					KA_MC_3_AS			Scaffold	2024-11-05	JBIDEI01	375204
ASM4432727v1	GCA_044327275.1		Actinodendron arboreum					Aarb1_MI_DT			Scaffold	2024-11-03	JBIDEU01	791670
ASM4447322v1	GCA_044473225.1		Diadumene leucolena					7YRURK81YH			Scaffold	2024-11-05	JBIDEQ01	409582
ASM4447404v1	GCA_044474045.1		Heteranthus verruculatus					WA_PHY01_Nearch			Scaffold	2024-11-05	JBIDEN01	481366
ASM2544825v1	GCA_025448255.1		Umimayanthus chanpuru					82GC1EKMS4			Scaffold	2022-09-27	JAOEJI01	1257329
ASM2540007v2	GCA_025400075.2		Phenganax stokvisi					IRGN ANW4HPJPFQ			Scaffold	2023-06-01	JAODVQ02	540910
ASM2540009v1	GCA_025400095.1		Phenganax marumi					C8MZLTY745			Scaffold	2022-09-25	JAODVM01	470484
ASM2757512v1	GCA_027575125.1		Umimayanthus parasiticus					L5S7Z6YT5G			Scaffold	2023-01-06	JAOBRH01	1355691
ASM2543484v1	GCA_025434845.1		Phenganax subtilis					V79C6OS4IX			Scaffold	2022-09-27	JAOBYK01	1264191
ASM2474133v1	GCA_024741335.1		Antipathozoanthus obscurus					BT1OMJ975U			Scaffold	2022-08-24	JANTBY01	610620
ASM2538866v1	GCA_025388665.1		Epizoanthus planus					N8G7E46U5T			Scaffold	2022-09-23	JANVCE01	272226
ASM2543478v2	GCA_025434785.2		Epizoanthus fatuus					IRGN HLH3YUZ2FQ			Scaffold	2023-09-20	JAOCZQ02	1267615
ASM2756361v1	GCA_027563615.1		Churabana kuroshioae					YJ3KVYXT2F			Scaffold	2023-01-03	JANSTY01	550534
ASM2654661v1	GCA_026546615.1		Paleozoanthus reticulatus					MWKCRR2XT5			Scaffold	2022-11-30	JAOCMZ01	1011069
jaLepSarm1.1 alternate haplotype	GCA_964658305.1		Leptogorgia sarmentosa								Chromosome	2024-12-23		18
Nvec200	GCA_033964005.1		Nematostella vectensis				Kansas City	NvSIMR3CF6CM			Chromosome	2023-11-28	JAWWUE01	29
ASM5905577v1	GCA_059055775.1		Stylophora pistillata					TWkt-23		Annotation submitted by Academia Sinica	Chromosome	2026-07-07	JBNOSB01	62
jaPocDami1.1	GCA_964200805.1		Pocillopora damicornis								Chromosome	2024-07-25	CAXNCK01	114
jaStyPist1.1	GCA_964205215.1		Stylophora pistillata								Chromosome	2024-07-29	CAXNSV01	226
Ahyacinthus.chrsV1	GCA_020536085.1		Acropora hyacinthus					CA74			Chromosome	2021-10-20	JAIFHZ01	907
Acropora palmata Hi-C genome assembly v3	GCA_025960835.2		Acropora palmata					1012			Chromosome	2024-03-07	JAOVVL02	406
Acerv_M5_2	GCA_041430625.1		Acropora cervicornis					22257			Chromosome	2024-08-23	JBCLVO01	3246
jaAcrMuri1.1	GCA_964332325.1		Acropora muricata								Chromosome	2024-11-08	CAYETB01	708
jaEunVerr1.1	GCA_964261655.1		Eunicella verrucosa								Chromosome	2024-09-10	CAXVQL01	198
TubCoc2	GCA_977035615.1		Tubastraea coccinea								Chromosome	2025-11-28	CDRQIX01	2300
TubCoc1	GCA_977035605.1		Tubastraea coccinea								Chromosome	2025-11-28	CDRQIY01	4206
jaPorDiva4.1	GCA_964035745.1		Porites divaricata								Chromosome	2024-05-04	CAXIVP01	89
jaAcrSpat14.1	GCA_964019555.1		Acropora spathulata								Chromosome	2024-03-30	CAXHUH01	463
jaMonCapr1.1	GCA_965112405.1		Montipora capricornis								Chromosome	2025-01-23	CBCORM01	863
jaPacMult1.1	GCA_984588385.1		Pachycerianthus multiplicatus								Chromosome	2026-06-21	CFIGWN01	657
alvinactis_v1	GCA_055797605.1		Alvinactis sp. YZ-2022					SY134HK01			Chromosome	2026-03-11	JAPWCO01	37
jaMonSpea1.1	GCA_964205245.1		Montipora sp. UDUK0000274								Chromosome	2024-07-29	CAXNSY01	1075
jaSibSpea1.hap1.1	GCA_984806735.1		Sibopathes sp. 1 SH-2022								Chromosome	2026-06-26	CFJMSC01	3280
jaAcrLori1.hap2.1	GCA_965213945.1		Acropora loripes								Chromosome	2025-03-21	CBDCCR01	984
jaAcrPulc1.hap1.1	GCA_965118205.1		Acropora cf. manni								Chromosome	2025-01-29	CBCPHC01	1339
jaNemVect1.2 alternate haplotype	GCA_932526215.2		Nematostella vectensis								Contig	2026-02-26	CAKOBB02	11386
Aiptasia_F003_V1	GCA_056151815.1		Exaiptasia diaphana					F003	female	Annotation submitted by Voolstra lab	Scaffold	2026-03-19	JBWBEE01	12422
CUHK_Apul_v2	GCA_024322265.1		Exaiptasia diaphana					CHI-2020			Scaffold	2022-07-19	JACAZJ01	8981
Adig_2.0	GCA_014634065.1		Acropora digitifera								Scaffold	2020-09-05	BLFC01	955
um_ofav_v1	GCA_042242905.1		Orbicella faveolata					gen_17	hermaphrodite		Contig	2024-09-25	JBGTOH01	58
jaPocDami1.1 alternate haplotype	GCA_964200845.1		Pocillopora damicornis								Contig	2024-07-26	CAXNCM01	4648
APGP_CSIRO_Spis_v1	GCA_032172095.1		Stylophora pistillata				Davies reef	Davies_AG016			Contig	2023-09-28	JAUZEC01	4149
O_faveolata_v1	GCA_001896105.1		Orbicella faveolata					FL			Scaffold	2016-12-09	MPSW01	17687
KocU_Ahya_1.0	GCA_051942565.1		Acropora hyacinthus					Nishidomari_Ahya_1			Contig	2025-08-12	JBMUIC01	189
jaAcrHyac4.1 alternate haplotype	GCA_964291555.1		Acropora hyacinthus								Contig	2024-10-25	CAXYTC01	4090
Ahya_1.0	GCA_014634145.1		Acropora hyacinthus								Scaffold	2020-09-05	BLFG01	2758
jaAcrPala1.3 alternate haplotype	GCA_964030595.3		Acropora palmata								Contig	2025-04-19	CAXIQB03	6992
jaGalFasc40.1 alternate haplotype	GCA_948470715.1		Galaxea fascicularis								Scaffold	2023-02-03	CAOKRK01	899
NEU_Acer_K2	GCA_032359415.1		Acropora cervicornis					K2		Annotation submitted by Northeastern University	Scaffold	2023-10-04	JARQWQ01	398
jaAcrCerv1.1 alternate haplotype	GCA_964034795.1		Acropora cervicornis								Scaffold	2024-04-26	CAXITW01	10233
Acerv_M5	GCA_037043185.1		Acropora cervicornis					14120			Scaffold	2024-03-06	JAWKAT01	4382
jaMonCapi2.1 alternate haplotype	GCA_949126885.1		Montipora capitata								Scaffold	2023-04-09	CASBPT01	878
Mcap_UHH_1.1	GCA_006542545.1		Montipora capitata					Colony #1			Scaffold	2019-07-02	RDEB01	27865
jaAntElea1_a1.1	GCA_051176595.1		Anthopleura elegantissima					AggregatingAnemone01/CBP01345			Contig	2025-07-02	JBPKRL01	572
jaAcrMuri1.1 alternate haplotype	GCA_964331975.1		Acropora muricata								Scaffold	2024-11-08	CAYETE01	16651
Amur_1.0	GCA_014634545.1		Acropora muricata								Scaffold	2020-09-05	BLFJ01	6861
ASM4276778v1	GCA_042767785.1		Anthopleura elegantissima					CsOR_C1			Scaffold	2024-10-08	JBHVNX01	4216
jaPorLute2.1 alternate haplotype	GCA_958299805.1		Porites lutea								Scaffold	2023-07-07	CATQJO01	306
jaMetSeni4.1 alternate haplotype	GCA_949775035.1		Metridium senile								Contig	2023-04-08	CATKSB01	5100
PLOB_v1	GCA_942486035.1		Porites lobata							Annotation submitted by Genoscope CEA	Contig	2023-05-15	CALNXK01	1098
jaGorVent5.1 alternate haplotype	GCA_964194125.1		Gorgonia ventalina								Scaffold	2024-06-26	CAXMLC01	3237
QUT_ActTen_1.0	GCA_029948245.1		Actinia tenebrosa					PJP-AT-01			Scaffold	2023-05-04	JALIZE01	57
jaPalCari2.1 alternate haplotype	GCA_965234995.1		Palythoa caribaeorum								Scaffold	2025-04-05	CBDDWL01	16223
jaPorLoba17.1 alternate haplotype	GCA_973404555.1		Porites lobata								Scaffold	2025-10-27	CCXFEG01	21853
Pver_genome_assembly_v1.0	GCA_014529365.1		Pocillopora verrucosa					AF25			Scaffold	2020-09-11	JAAVTL01	18268
jaFimPara1.2 alternate haplotype	GCA_977014585.2		Fimbriaphyllia paradivisa								Contig	2026-04-28	CDRNLO02	33386
ASM2654646v2	GCA_026546465.2		Palythoa caribaeorum					IRGN CSM4E2ESMF			Scaffold	2023-05-25	JAOCNB02	523089
jaAntSola1.0.a	GCA_023349385.1		Anthopleura sola					CCGP_MDBC_AS_20200803			Scaffold	2022-05-12	JALHLJ01	556
jaOrbFran1.1 alternate haplotype	GCA_964199325.1		Orbicella franksi								Contig	2024-07-12	CAXMYZ01	5365
ASM4775984v1	GCA_047759845.1		Tubastraea coccinea					XC-2024			Scaffold	2025-02-13	JBJUWB01	2572
jaColNata1.hap1.1	GCA_977013685.1		Colpophyllia natans								Contig	2025-11-08	CDRNJT01	2278
jaColNata1.hap2.1	GCA_977014295.1		Colpophyllia natans								Contig	2025-11-08	CDRNJU01	1479
ASM4404949v1	GCA_044049495.1		Briareum asbestinum					R001			Contig	2024-10-29	JBBYAB01	22554
jaAntXant3.1 alternate haplotype	GCA_964019075.1		Anthopleura xanthogrammica								Contig	2024-03-23	CAXHSC01	4722
jaPavDecu1.1 alternate haplotype	GCA_977016895.1		Pavona decussata								Contig	2025-11-08	CDRNSV01	14524
CSM_Crub_V152	GCA_046563405.1		Corallium rubrum					130114			Scaffold	2025-01-08	JBKGWA01	2910
jaBriAsbe3.1 alternate haplotype	GCA_977019165.1		Briareum asbestinum								Contig	2025-11-08	CDRNYV01	13043
jaEunVerr1.1 alternate haplotype	GCA_964261685.1		Eunicella verrucosa								Scaffold	2024-09-08	CAXVQO01	16398
UCD_Asol	GCA_016068315.1		Anthopleura sola					LAJ1			Scaffold	2020-12-15	JABJWW01	89
ASM2475237v1	GCA_024752375.1		Entacmaea quadricolor					GW61ZRZ7DM			Scaffold	2022-08-27	JANTNT01	249586
PSU_SSid_1.0.0	GCA_043250775.1		Siderastrea siderea					22256			Contig	2024-10-17	JBGLOD01	260
jaOrbAnnu2.hap1.1	GCA_977012905.1		Orbicella annularis								Contig	2025-11-08	CDRNFF01	2767
jaSidSide1.1 alternate haplotype	GCA_964031265.1		Siderastrea siderea								Scaffold	2024-04-21	CAXIQK01	2020
jaAcrSpat14.1 alternate haplotype	GCA_964019565.1		Acropora spathulata								Scaffold	2024-03-31	CAXHUJ01	2075
jaParArbo1_a1.1	GCA_057556705.1		Paragorgia arborea					BubblegumCoral01 / CBP02698			Scaffold	2026-05-15	JBXVNW01	244
ASM2245715v1	GCA_022457155.1		Cladopsammia gracilis					Clg_1.0			Contig	2022-03-03	JAJGOT01	1623
XeniaSp_v1	GCA_021976095.1	GCF_021976095.1	Xenia sp. Carnegie-2017					Carnegie-2017			Scaffold	2022-02-04	JAJSDR01	168
XeniaSp_v1	GCF_021976095.1	GCA_021976095.1	Xenia sp. Carnegie-2017					Carnegie-2017		NCBI Xenia sp. Carnegie-2017 Annotation Release 100	Scaffold	2022-02-04	JAJSDR01	168
jaSidRadi1.1 alternate haplotype	GCA_964017165.1		Siderastrea radians								Scaffold	2024-03-23	CAXHKV01	10710
jaPorCyli1.1 alternate haplotype	GCA_964035495.1		Porites cylindrica								Scaffold	2024-04-28	CAXIUY01	2663
jaPorDiva4.1 alternate haplotype	GCA_964035725.1		Porites divaricata								Contig	2024-05-03	CAXIVQ01	4790
jaMurMuri3.1 alternate haplotype	GCA_963855965.1		Muricea muricata								Scaffold	2023-12-15	CAWLCV01	3269
jaMeaMean2.1 alternate haplotype	GCA_963693325.1		Meandrina meandrites								Scaffold	2023-12-11	CAVNZH01	2261
jaBlaWell11.1 alternate haplotype	GCA_947652475.1		Blastomussa wellsi								Scaffold	2022-12-21	CANTFH01	2167
jaDiaLine6.1 alternate haplotype	GCA_918843945.1		Diadumene lineata								Scaffold	2021-11-19	CAKKNZ01	1679
jaDipLaby1.1 alternate haplotype	GCA_965282395.1		Diploria labyrinthiformis								Contig	2025-07-02	CBDIKL01	7433
jaConGiga1.1 alternate haplotype	GCA_964258905.1		Condylactis gigantea								Scaffold	2024-09-05	CAXVHV01	4656
jaPocGran1.hap2.1 alternate haplotype	GCA_964027075.1		Pocillopora grandis								Scaffold	2024-04-16	CAXIEX01	20
jaAgaLama2.1 alternate haplotype	GCA_977015345.1		Agaricia lamarcki								Contig	2025-11-08	CDRNNP01	824
jaMonCapr1.1 alternate haplotype	GCA_965112485.1		Montipora capricornis								Scaffold	2025-01-23	CBCORU01	18436
jaMadAure2.1 alternate haplotype	GCA_964059505.1		Madracis auretenra								Scaffold	2024-05-29	CAXKXI01	15422
jaRicFlor1.1 alternate haplotype	GCA_949710055.1		Ricordea florida								Scaffold	2023-04-09	CATIXJ01	16697
jaAntBipi1.1 alternate haplotype	GCA_984036985.1		Antillogorgia bipinnata								Contig	2026-06-15	CFFDOF01	8699
jaIsoPali11.1 alternate haplotype	GCA_964212125.1		Isopora palifera								Scaffold	2024-08-03	CAXOTR01	33383
Aint_1.0	GCA_014634585.1		Acropora intermedia								Scaffold	2020-09-05	BLFH01	6224
ASM4432710v1	GCA_044327105.1		Condylactis gigantea					QM_CGHT1_P			Scaffold	2024-11-03	JBIDES01	106631
ASM6069712v1	GCA_060697125.1		Granulogorgia sp. T75933-1								Contig	2026-09-01	JCBPFX01	406
ASM5449153v1	GCA_054491535.1		Polymyces sp. M5039					M5039			Contig	2026-01-14	JBREVG01	1024
jaOcuArbu1.hap2.1	GCA_964656855.1		Oculina arbuscula								Scaffold	2025-01-03	CAZZTF01	189
PSU_DCyl_1.0.0	GCA_043250745.1		Dendrogyra cylindrus					22255			Contig	2024-10-17	JBGLOB01	301
Madrepora sp._1.0	GCA_046129775.1		Madrepora sp. SY280-shi		SY280-shi						Contig	2024-12-17	JAZFPK01	257
jaAgaAgar1.hap2.1	GCA_974392605.1		Agaricia agaricites								Scaffold	2025-10-26	CDCVHK01	272
IDSSE_Tra_sp_1.0	GCA_016169945.1		Trachythela sp. YZ-2020					YZ-2020			Contig	2020-12-21	JADLSH01	396
ASM4129641v1	GCA_041296415.1		Actinoscyphia sp. m1220					m1220			Scaffold	2024-08-15	JALNPV01	131
ASM3577240v1	GCA_035772405.1		Chrysogorgia sp. JL179-B06					JL179-B06			Contig	2024-01-17	JAYKKM01	522
jaMadSpea1.hap2.1	GCA_977014835.1		Madrepora sp. 1 SH-2022								Contig	2025-11-08	CDRNLT01	920
jaMadSpea1.hap1.1	GCA_977014845.1		Madrepora sp. 1 SH-2022								Contig	2025-11-08	CDRNLU01	1799
jaMonPala3.1 alternate haplotype	GCA_964330355.1		Montipora palawanensis								Scaffold	2024-11-08	CAYELP01	1925
jaUmiSpea1.hap2.1	GCA_977925965.1		Umimayanthus sp. GHC0000340								Scaffold	2026-02-01	CDWQYG01	3729
jaUmiSpea1.hap1.1	GCA_977925915.1		Umimayanthus sp. GHC0000340								Scaffold	2026-02-01	CDWQYH01	5099
jaAulVerr1.hap2.1	GCA_965282985.1		Aulactinia verrucosa								Scaffold	2025-05-18	CBDIMZ01	212
jaParPaci1_a1.1	GCA_059750175.1		Paragorgia pacifica					PacificBubblegumCoral01 / CBP02696			Scaffold	2026-08-03	JBWWDZ01	124
CUHK_Acti_1.0	GCA_030867875.1		Actinernus sp. WN-2022					WN-2022			Scaffold	2023-08-25	JAOWCC01	1812
Taxipathes sp._1.0	GCA_046129755.1		Taxipathes sp. SY275-mao		SY275-mao						Scaffold	2024-12-17	JAZFPL01	768
ASM5650888v1	GCA_056508885.1		Podabacia crustacea					XC-2025a			Contig	2026-04-01	JBLWFP01	1897
jaSteInte3.hap2.1	GCA_965112845.1		Stephanocoenia intersepta								Scaffold	2025-01-24	CBCOSR01	783
jaAcrSpic1.1 alternate haplotype	GCA_964261295.1		Acropora spicifera								Scaffold	2024-09-07	CAXVPG01	3862
jaPluPenn1.1 alternate haplotype	GCA_964036285.1		Plumapathes pennacea								Contig	2024-05-12	CAXIWV01	2764
jaCorViri6.1 alternate haplotype	GCA_979016815.1		Corynactis viridis								Scaffold	2026-02-27	CECUDK01	1857
jaPseCliv1.hap1.1	GCA_977016835.1		Pseudodiploria clivosa								Contig	2025-11-08	CDRNSL01	1280
jaIsiTent1_a1.1	GCA_057127585.1		Isidella tentaculum					BambooCoral01 / CBP02699			Scaffold	2026-04-30	JBXSGR01	965
jaDenCyli1.1 alternate haplotype	GCA_964187805.1		Dendrogyra cylindrus								Contig	2024-06-18	CAXLND01	7933
Paracalyptrophora sp._1.0	GCA_046129875.1		Paracalyptrophora sp. SY255-jin		SY255-jin						Scaffold	2024-12-17	JAZFPM01	3941
jaAcrPulc1.hap2.1	GCA_965118215.1		Acropora cf. manni								Scaffold	2025-01-29	CBCPHB01	1265
jaSibSpea1.hap2.1	GCA_984806745.1		Sibopathes sp. 1 SH-2022								Scaffold	2026-06-26	CFJMSB01	2107
ASM3367526v1	GCA_033675265.1		Actinostola sp. cb2023					cb2023		Annotation submitted by BGI-SZ	Scaffold	2023-11-15	JAUJYZ01	1596
jaCalGrac1.1 alternate haplotype	GCA_964204815.1		Callogorgia gracilis								Contig	2024-07-27	CAXNRS01	7212
jaParBisc1.1 alternate haplotype	GCA_977018935.1		Paramuricea biscaya								Scaffold	2025-11-08	CDRNYI01	11934
jaAcrGlau1.hap2.1	GCA_964275325.1		Acropora glauca								Scaffold	2024-10-25	CAXYBI01	484
jaAcrAbro1.hap2.1	GCA_982319575.1		Acropora abrotanoides								Scaffold	2026-03-22	CEVNEW01	3295
jaTurReni1.1 alternate haplotype	GCA_964204765.1		Turbinaria reniformis								Scaffold	2024-07-27	CAXNRT01	12526
jaRhoOscu1.1 alternate haplotype	GCA_965240445.1		Rhodactis osculifera								Contig	2025-04-14	CBDEKY01	5782
jaAntAmer4.hap2.1	GCA_976986605.1		Antillogorgia americana								Contig	2025-10-26	CDRKBR01	2662
jaPorRusx1.1 alternate haplotype	GCA_964035695.1		Porites rus								Scaffold	2024-05-01	CAXIVN01	13415
jaAcrAuse1.1 alternate haplotype	GCA_964273405.1		Acropora austera								Scaffold	2024-10-03	CAXWWS01	10631
jaCypSala7.1 alternate haplotype	GCA_964194075.1		Cyphastrea salae								Scaffold	2024-06-26	CAXMLE01	15719
jaCauFurc1.1 alternate haplotype	GCA_965607615.1		Caulastraea furcata								Contig	2025-07-07	CBFDFX01	15703
jaDunAxif1.1 alternate haplotype	GCA_964258795.1		Duncanopsammia axifuga								Scaffold	2024-08-30	CAXVHQ01	16629
jaEunSucc4.hap1.1	GCA_977969925.1		Eunicea succinea								Contig	2026-02-01	CDWWSN01	7315
jaEchHorr1.2 alternate haplotype	GCA_964199745.2		Echinopora horrida								Scaffold	2025-03-20	CAXMZJ02	22183
jaMicLord3.1 alternate haplotype	GCA_964020075.1		Micromussa lordhowensis								Scaffold	2024-03-31	CAXHUT01	23351
jaAntFurc1.1 alternate haplotype	GCA_977019245.1		Antipathes furcata								Contig	2025-11-08	CDRNYS01	8194
jaEunClav3.1 alternate haplotype	GCA_976237775.1		Eunicea clavigera								Contig	2025-10-27	CDNIBX01	18163
jaAntArte2.1 alternate haplotype	GCA_964304795.1		Anthopleura artemisia								Scaffold	2024-11-07	CAYARH01	9480
jaMurLaxa5.1 alternate haplotype	GCA_982184795.1		Muricea laxa								Contig	2026-03-08	CEUTVW01	15914
jaPteGuad1.1 alternate haplotype	GCA_976231725.1		Pterogorgia guadalupensis								Contig	2025-10-26	CDNHDX01	8428
jaMadSena2.1 alternate haplotype	GCA_964656605.1		Madracis senaria								Scaffold	2025-01-03	CAZZSI01	37246
jaEunKnig1.1 alternate haplotype	GCA_965233895.1		Eunicea knighti								Scaffold	2025-04-02	CBDDTX01	13948
jaMonSpea1.1 alternate haplotype	GCA_964205255.1		Montipora sp. UDUK0000274								Scaffold	2024-07-29	CAXNTE01	47801
Montipora_aff_capitata_1.0	GCA_023091755.1		Montipora sp. Colony 1 RG-2022					Colony 1			Contig	2022-04-22	JALIRR01	18549
Prus	GCA_900290455.1		Porites rus					14846/IV/SATS-LN/2007			Scaffold	2018-05-28	OKRP01	14982
ASM2543482v1	GCA_025434825.1		Bergia sp. 'catenularis'					MFVDBR327K			Scaffold	2022-09-27	JANRMR01	259229
ASM20922v1	GCA_000209225.1	GCF_000209225.1	Nematostella vectensis		CH2 x CH6					Annotation submitted by DOE Joint Genome Institute (JGI)	Scaffold	2007-08-22	ABAV01	10804
ASM20922v1	GCF_000209225.1	GCA_000209225.1	Nematostella vectensis		CH2 x CH6					NCBI Nematostella vectensis Annotation Release 100	Scaffold	2007-08-22	ABAV01	10804
amil_sf_1.1	GCA_004143615.1	GCF_004143615.1	Acropora millepora					SF001			Scaffold	2019-02-06	QTZP01	3869
amil_sf_1.1	GCF_004143615.1	GCA_004143615.1	Acropora millepora					SF001		NCBI Acropora millepora Annotation Release 100	Scaffold	2019-02-06	QTZP01	3869
jaStyPist1.1 alternate haplotype	GCA_964205175.1		Stylophora pistillata								Contig	2024-07-29	CAXNTC01	11628
CSIRO_AGI_Pver_v1	GCA_030620025.1	GCF_030620025.1	Pocillopora verrucosa					Pver-AG016-CSIRO1			Contig	2023-08-03	JAUTXV01	2272
CSIRO_AGI_Pver_v1	GCF_030620025.1	GCA_030620025.1	Pocillopora verrucosa					Pver-AG016-CSIRO1		GCF_030620025.1-RS_2023_08	Contig	2023-08-03	JAUTXV01	2272
IOCAS_KeraD1	GCA_058226615.2		Keratoisididae sp. D1_2022					D1_2022			Contig	2026-07-27	JBLOUM02	1057
jaPorAstr1.1	GCA_987195345.1		Porites astreoides								Chromosome	2026-09-08	CFWXOY01	1170
